gap_id,side,num_samples,vector_rmse,mean_vector_error,median_vector_error,max_vector_error
619,left,74,1.4150628538629093,1.3709456535458557,1.381289630152857,1.8049321979573651
451,right,44,1.329309159668226,1.1340923826889835,0.9773548195614186,2.4590662731803126
280,right,1,1.2943127876739893,1.2943127876739893,1.2943127876739893,1.2943127876739893
787,left,19,1.2914871205154532,1.2584232126820964,1.3084608333080108,1.702285038583461
75,left,42,1.2444845384637815,1.223875055957052,1.251782860325722,1.5720171199375357
631,left,33,1.1663677382918367,1.15269979366397,1.246595592341565,1.3077562386974173
962,left,125,1.076639093459257,1.0136067638531991,1.1671138224921629,1.3938179080604063
708,right,221,1.0489634665288798,0.9395870830001483,1.1911282690221403,1.5234984796037585
78,right,42,0.997992958906331,0.938215046346486,0.9485640611791846,1.491130436853286
232,right,109,0.9798080883353257,0.8161389020023239,0.5849270214441938,1.8424087734072891
1038,left,752,0.9615847857433831,0.879152392704888,0.9102422647359114,2.2387794642066945
610,right,10,0.9606884683853717,0.9558182942887898,0.9952032430410339,1.0476877786930665
1062,left,176,0.9389787258515365,0.8804584777175486,0.9614180026165455,1.5033066425335093
624,right,14,0.9255190265046708,0.9242733099688305,0.9406541081319482,1.0010245522470593
618,left,78,0.923223967999372,0.8990020303358159,0.8974643200370672,1.228337939914348
961,right,125,0.9141990693524161,0.7987784750201544,0.7448209002451435,1.5085498441523844
707,left,213,0.8984102147009047,0.8255339269287542,1.001829668116722,1.277857296766448
1170,left,37,0.877004136976018,0.7648770380922714,0.7265580279129493,1.6621472502405858
1039,right,825,0.8506534316282307,0.7898547562188105,0.7888798065818657,1.5567512976775262
29,right,56,0.8269544649967244,0.7061663226484648,0.5125005113153027,1.677246364147105
1162,right,111,0.8262636980209083,0.6167484177480776,0.5152397926755214,2.1183953691332813
639,left,117,0.8216424202036888,0.80156530678848,0.8144591599613846,1.0736135245198124
630,right,33,0.819388310054646,0.8162642146258853,0.8129919660060159,0.9508588560048402
613,left,202,0.8133344672680368,0.664171602951636,0.8010361543115714,1.3890015210099318
353,left,13,0.8089806968267631,0.7603424766062615,0.8042527860600701,1.2414604755160172
147,left,32,0.8060144266701689,0.7489329358329874,0.6943879555417272,1.335331594907562
371,left,13,0.7971420188242361,0.7963508517434715,0.8005162147109085,0.8371764608983673
173,right,20,0.7881382487532985,0.7368911633705513,0.6156752463914257,1.149764375157247
482,left,91,0.7823126734380941,0.686001559253943,0.7210031024371706,1.5272489326674046
877,right,33,0.7788563499677279,0.6028343936898171,0.44649598728736056,1.5635124506114206
792,right,109,0.7716333529129157,0.578355218449254,0.3630011097904954,1.999921290518497
558,left,1,0.7695318225400909,0.7695318225400909,0.7695318225400909,0.7695318225400909
1071,right,79,0.7688554262340334,0.667218191250526,0.518992898701757,1.4563437993911408
231,left,185,0.7632604381045798,0.5169956401477052,0.2592882568351903,2.1072304565996105
170,left,47,0.7591925801836494,0.7331208224624166,0.7907421031190802,0.9667175078586643
908,left,1,0.7569901251465957,0.7569901251465957,0.7569901251465957,0.7569901251465957
1055,right,33,0.7414454185563215,0.5683176350556156,0.3664926616308247,1.558216696107416
277,left,1,0.7365841125910482,0.7365841125910482,0.7365841125910482,0.7365841125910482
86,left,108,0.7362093663831176,0.5693697102098431,0.47531980660511386,1.457658779383237
87,right,108,0.7335260795281521,0.5826659929004283,0.4375327333282012,1.448640237547619
1070,left,1,0.7259059426772888,0.7259059426772888,0.7259059426772888,0.7259059426772888
583,right,21,0.7089782918154782,0.704607907899839,0.7043127503506955,0.8528403774192492
617,right,81,0.6979967672405706,0.6467087977162552,0.717645344413773,1.0073868487470203
279,left,43,0.6965268943502149,0.6120104374619505,0.5537888880340583,1.5385193376313129
340,right,63,0.6778627979274758,0.6055136755674506,0.528277227033392,1.3388324234283275
247,left,106,0.6769385015876294,0.6308675725173417,0.7272548696141443,1.0473790908148184
530,left,6,0.6752001544074646,0.6701639966625413,0.6636203519435597,0.7889398777734481
319,left,107,0.6688179165367192,0.62367900432404,0.5960923678898191,1.1232972698632506
876,left,33,0.6679983274962352,0.4808260420612969,0.2663254343709361,1.5915836520059674
197,left,48,0.6661402630005326,0.6240494183465671,0.6776120100309727,1.1476767523778095
788,right,19,0.6629285576813515,0.6216096470364466,0.5679410442578288,1.4495771624083664
620,right,74,0.6589538436466518,0.5836274368000456,0.5098339099772371,1.245725024553878
110,left,177,0.6569083023154857,0.6263458432696134,0.598490889167992,1.13390933833277
994,left,32,0.6528227987373126,0.5929470502076565,0.6297176826919493,1.051254674258017
974,right,22,0.65193939748362,0.5514124772653255,0.5837849717822281,1.239698290822483
16,left,144,0.6452603951855145,0.5963843187439926,0.5394742078560599,1.3114550135734793
410,left,59,0.6431222873713361,0.5870617321501588,0.6190911616603869,1.1221620448021674
111,right,258,0.6430672826200556,0.5574161101382519,0.5007333980657804,1.8979135096295459
825,right,75,0.6397477421846659,0.5365746174629583,0.42634016896901483,1.5791767898485118
1110,right,45,0.639684584178527,0.6338828367267333,0.6378896722127602,0.768616650995067
539,left,37,0.6386544464723843,0.5840920369332959,0.5958327405899738,1.0915691541483103
225,left,46,0.634907011820118,0.5564302815223486,0.5557385371087697,1.0341533942366405
17,right,108,0.6300831330341737,0.5866333833281818,0.530389385406788,1.2557195257113563
102,left,127,0.6278707614794675,0.6073053587231254,0.5783372645063323,1.2602082660229188
350,left,51,0.6269734275294355,0.569324497133863,0.5203981756364646,1.3129569933143093
327,left,188,0.6250984526343011,0.5703324361485731,0.6012145082178735,1.2890262864277213
903,right,136,0.6233917869090588,0.6035690949178796,0.6102323275892761,0.9360255698823268
430,right,19,0.6228378792992385,0.6101357228033635,0.6040413515411271,0.7776659019059915
652,right,124,0.6213860071328694,0.5718484363940227,0.5816992782177541,0.9526641271090669
384,left,72,0.6200315951426705,0.5806899213237505,0.6461724446821618,1.0092125983969626
44,left,68,0.6197943988288606,0.5953399073903743,0.5773827069410609,1.061165506378245
20,left,8,0.6081116286501913,0.5445634754835935,0.45154960152511514,0.9527950573252856
1090,left,15,0.6056549690851056,0.5928379399357148,0.5406584839214892,0.8534626651761271
1029,right,117,0.6031122842832257,0.5744247418409186,0.5908020936959485,1.0954138003532568
94,left,11,0.6025737029439535,0.595186349960464,0.5917086840779112,0.7789846810901628
8,right,125,0.5994883631542209,0.5433576593129786,0.5528499828733336,1.1469518980386193
364,left,38,0.5979771950122521,0.5713256725319636,0.5850228715041104,0.8870482587907328
333,left,135,0.5966345663006156,0.5369733979234905,0.6246965811395856,1.2432111219793065
77,left,22,0.5916844192878425,0.5415973743651951,0.46837441378377637,1.0598516845625676
373,right,119,0.5915050361590775,0.5332169725643837,0.4956080037345733,1.4130521666012275
1129,left,259,0.5891656376827878,0.5650057101698931,0.5834864703495647,0.9031601992860523
551,right,30,0.5862187299071725,0.5124935848020031,0.6431745030199121,0.8863141645722014
967,right,275,0.5815233216334582,0.5549779998414037,0.582655431671246,1.1366065166431032
328,right,325,0.581469399589499,0.4902941304636246,0.41692016148371214,1.4314380143954193
354,right,154,0.5805659310736578,0.5070846694301004,0.42084351937396286,1.4438446834345928
376,left,61,0.5794950126440573,0.5043466025794464,0.4882709381059087,1.348143751510233
130,left,54,0.5769908640152639,0.5559128196193523,0.5505019427628964,0.9382611054549471
171,right,157,0.5747702820099998,0.5035083717969342,0.3954197787258571,1.5019330858900548
1125,right,27,0.5743335700387554,0.5639875310234993,0.5873418667925627,0.7042862841330825
190,right,63,0.5740580283131556,0.4952953010360982,0.5108516356133646,1.0873407378808255
809,left,201,0.5723277650099282,0.5099671001800542,0.45719940846270135,1.2723308676703113
538,right,37,0.5710923952787156,0.5202581415302876,0.5760515059681459,0.8207628458452956
614,right,202,0.5689581158286794,0.5028072033581077,0.5651724022848932,1.0553636409100995
91,right,110,0.5680530946229854,0.4132196695012257,0.2800883481175893,1.7967948570147154
990,left,65,0.5662136349974538,0.46539870278222856,0.4169266270779558,1.0241881838234863
535,left,116,0.5649105483040173,0.547660755324834,0.5061781797247562,1.0972455193853725
926,right,315,0.5642048843440204,0.488467244204752,0.4204259138254461,1.7766298018788838
1101,right,222,0.5614976521992932,0.5285099208497442,0.49318892431622996,1.195777945636396
638,right,117,0.5610638859456889,0.5178063387169758,0.5630229211641729,0.9383668831588985
201,left,235,0.559861672022359,0.5282819603299743,0.5241142555778707,0.9548577202956519
554,left,13,0.5598134073195223,0.5515114291955159,0.5234279949539612,0.7475311413874588
131,right,54,0.5595545010543838,0.5410378679589628,0.551533786283001,0.7795719986131664
