gap=(3, 'right') | true vx,vy=( 0.198, -0.000) | pred vx,vy=( 0.096, -0.006)
gap=(3, 'right') | true vx,vy=( 0.192, -0.000) | pred vx,vy=( 0.096, -0.006)
gap=(3, 'right') | true vx,vy=( 0.184, -0.000) | pred vx,vy=( 0.096, -0.006)
gap=(3, 'right') | true vx,vy=( 0.173, -0.000) | pred vx,vy=( 0.096, -0.006)
gap=(3, 'right') | true vx,vy=( 0.160,  0.000) | pred vx,vy=( 0.096, -0.006)
gap=(3, 'right') | true vx,vy=( 0.146,  0.000) | pred vx,vy=( 0.096, -0.006)
gap=(3, 'right') | true vx,vy=( 0.131,  0.000) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.115,  0.000) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.099,  0.000) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.083,  0.000) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.066,  0.000) | pred vx,vy=( 0.095, -0.005)
gap=(3, 'right') | true vx,vy=( 0.050,  0.000) | pred vx,vy=( 0.095, -0.005)
gap=(3, 'right') | true vx,vy=( 0.034,  0.001) | pred vx,vy=( 0.095, -0.005)
gap=(3, 'right') | true vx,vy=( 0.019,  0.001) | pred vx,vy=( 0.095, -0.005)
gap=(3, 'right') | true vx,vy=( 0.004,  0.001) | pred vx,vy=( 0.095, -0.005)
gap=(3, 'right') | true vx,vy=(-0.010,  0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=(-0.024,  0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=(-0.036,  0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=(-0.048,  0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=(-0.058,  0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=(-0.068,  0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=(-0.076,  0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=(-0.084,  0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=(-0.091,  0.000) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=(-0.021, -0.000) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.039, -0.000) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.092, -0.001) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.136, -0.001) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.174, -0.001) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.205, -0.001) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.230, -0.002) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.250, -0.002) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.266, -0.002) | pred vx,vy=( 0.096, -0.005)
gap=(3, 'right') | true vx,vy=( 0.277, -0.002) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.284, -0.002) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.288, -0.002) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.289, -0.002) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.287, -0.002) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.283, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.276, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.268, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.259, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.248, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.237, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.225, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.213, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.200, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.187, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.174, -0.001) | pred vx,vy=( 0.095, -0.004)
gap=(3, 'right') | true vx,vy=( 0.162, -0.001) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.149, -0.001) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.137, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.125, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.114, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.103, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.093, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.083, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.074, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.065, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.058, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.050, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.044, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.038, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.033, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.028, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.024, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.020, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.017, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.014, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.012, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.010, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.009, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.008, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.008, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.008, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.008, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.008, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.009, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.010, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.011, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.012, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.014, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.016, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.017, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.019, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.021, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.023, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.025, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.027, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.029, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.031, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.033, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.035, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.037, -0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.039,  0.000) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.041,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.043,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.045,  0.000) | pred vx,vy=( 0.094, -0.002)
