session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_13-09-56,0,5.005000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.005000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.045000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.045000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.080000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.080000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.125000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.125000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.165000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.165000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.200000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.200000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.240000,5,left,-4.729970,-0.673323,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.240000,3,right,4.730206,-0.703053,0.009089,-0.008286,simp
dgap_26-05-05_13-09-56,0,5.285000,5,left,-4.729760,-0.673293,0.000000,0.000000,simp
dgap_26-05-05_13-09-56,0,5.285000,3,right,4.730131,-0.703042,0.230966,-0.210617,simp
dgap_26-05-05_13-09-56,0,5.325000,5,left,-4.729604,-0.673271,0.000069,0.000010,simp
dgap_26-05-05_13-09-56,0,5.325000,3,right,4.729978,-0.703019,0.296054,-0.270069,simp
dgap_26-05-05_13-09-56,0,5.365000,5,left,-4.729481,-0.673253,0.000210,0.000030,simp
dgap_26-05-05_13-09-56,0,5.365000,3,right,4.729775,-0.702989,0.322800,-0.294629,simp
dgap_26-05-05_13-09-56,0,5.410000,5,left,-4.729398,-0.673241,0.000397,0.000057,simp
dgap_26-05-05_13-09-56,0,5.410000,3,right,4.729562,-0.702957,0.330448,-0.301832,simp
dgap_26-05-05_13-09-56,0,5.440000,5,left,-4.729330,-0.673232,0.005605,0.000086,simp
dgap_26-05-05_13-09-56,0,5.440000,3,right,4.729331,-0.702923,0.330708,-0.297788,simp
dgap_26-05-05_13-09-56,0,5.480000,5,left,-4.729285,-0.673225,0.005260,0.000113,simp
dgap_26-05-05_13-09-56,0,5.480000,3,right,4.729118,-0.702891,0.316940,-0.286040,simp
dgap_26-05-05_13-09-56,0,5.525000,5,left,-4.729240,-0.673219,0.005755,0.000136,simp
dgap_26-05-05_13-09-56,0,5.525000,3,right,4.728925,-0.702863,0.298424,-0.269288,simp
