session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_13-04-27,0,5.045000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.045000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.085000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.085000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.120000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.120000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.165000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.165000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.200000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.200000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.245000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.245000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.280000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.280000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.325000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.325000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.325000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.325000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.365000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.365000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.365000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.365000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.405000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.405000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.405000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.405000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.445000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.445000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.445000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.445000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.485000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.485000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.485000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.485000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
dgap_26-05-05_13-04-27,0,5.525000,10,left,3.566714,-3.405933,-0.105635,-0.094959,simp
dgap_26-05-05_13-04-27,0,5.525000,8,right,4.265908,-2.492151,-0.054348,-0.023347,simp
dgap_26-05-05_13-04-27,0,5.560000,10,left,3.566660,-3.405882,-0.183621,-0.174704,simp
dgap_26-05-05_13-04-27,0,5.560000,8,right,4.454953,-2.247533,0.068441,0.160781,simp
dgap_26-05-05_13-04-27,0,5.605000,10,left,3.566005,-3.405257,-0.243745,-0.226957,simp
dgap_26-05-05_13-04-27,0,5.605000,8,right,4.481481,-2.192210,0.180049,0.350564,simp
dgap_26-05-05_13-04-27,0,5.640000,10,left,3.564769,-3.404076,-0.280573,-0.257718,simp
dgap_26-05-05_13-04-27,0,5.640000,8,right,4.468954,-2.186082,0.247255,0.484944,simp
dgap_26-05-05_13-04-27,0,5.680000,10,left,3.563021,-3.402407,-0.298402,-0.270985,simp
dgap_26-05-05_13-04-27,0,5.680000,8,right,4.457242,-2.180353,0.279260,0.570147,simp
dgap_26-05-05_13-04-27,0,5.720000,10,left,3.560777,-3.400264,-0.302286,-0.271268,simp
dgap_26-05-05_13-04-27,0,5.725000,8,right,4.447267,-2.175473,0.287111,0.616059,simp
dgap_26-05-05_13-04-27,0,5.760000,10,left,3.558110,-3.397717,-0.296831,-0.262773,simp
dgap_26-05-05_13-04-27,0,5.760000,8,right,4.509323,-2.137524,0.330015,0.656992,simp
dgap_26-05-05_13-04-27,0,5.800000,10,left,3.555176,-3.394915,-0.285602,-0.248923,simp
dgap_26-05-05_13-04-27,0,5.800000,8,right,4.503367,-2.134701,0.349244,0.669661,simp
dgap_26-05-05_13-04-27,0,5.845000,10,left,3.551331,-3.391243,-0.271560,-0.231757,simp
dgap_26-05-05_13-04-27,0,5.845000,8,right,4.500387,-2.133288,0.354277,0.662688,simp
dgap_26-05-05_13-04-27,0,5.885000,10,left,3.544467,-3.384689,-0.257839,-0.211645,simp
dgap_26-05-05_13-04-27,0,5.885000,8,right,4.497476,-2.131908,0.350053,0.643214,simp
dgap_26-05-05_13-04-27,0,5.925000,10,left,3.534290,-3.374971,-0.246404,-0.188764,simp
dgap_26-05-05_13-04-27,0,5.925000,8,right,4.494447,-2.130472,0.339972,0.616325,simp
dgap_26-05-05_13-04-27,0,5.965000,10,left,3.520652,-3.361948,-0.238390,-0.163297,simp
dgap_26-05-05_13-04-27,0,5.965000,8,right,4.491385,-2.129020,0.326397,0.585411,simp
dgap_26-05-05_13-04-27,0,6.000000,10,left,3.503549,-3.345616,-0.234332,-0.135450,simp
dgap_26-05-05_13-04-27,0,6.000000,8,right,4.488208,-2.127515,0.310873,0.552714,simp
dgap_26-05-05_13-04-27,0,6.040000,10,left,3.482817,-3.325818,-0.234465,-0.105356,simp
dgap_26-05-05_13-04-27,0,6.040000,8,right,4.485004,-2.125996,0.294451,0.519658,simp
dgap_26-05-05_13-04-27,0,6.080000,10,left,3.458339,-3.302444,-0.238841,-0.073112,simp
dgap_26-05-05_13-04-27,0,6.080000,8,right,4.481760,-2.124458,0.277801,0.487123,simp
dgap_26-05-05_13-04-27,0,6.125000,10,left,3.447173,-3.291780,-0.241567,-0.044355,simp
dgap_26-05-05_13-04-27,0,6.125000,8,right,4.437726,-2.103585,0.247475,0.462208,simp
dgap_26-05-05_13-04-27,0,6.160000,10,left,3.419887,-3.265725,-0.248185,-0.013724,simp
dgap_26-05-05_13-04-27,0,6.160000,8,right,4.434368,-2.101993,0.220902,0.437064,simp
dgap_26-05-05_13-04-27,0,6.200000,10,left,3.395890,-3.242809,-0.256529,0.016819,simp
dgap_26-05-05_13-04-27,0,6.205000,8,right,4.431059,-2.100425,0.197527,0.412158,simp
dgap_26-05-05_13-04-27,0,6.245000,10,left,3.375224,-3.223075,-0.265072,0.045942,simp
dgap_26-05-05_13-04-27,0,6.245000,8,right,4.427685,-2.098825,0.176855,0.387804,simp
dgap_26-05-05_13-04-27,0,6.280000,10,left,3.357998,-3.206625,-0.272717,0.072724,simp
dgap_26-05-05_13-04-27,0,6.280000,8,right,4.424305,-2.097223,0.158490,0.364184,simp
dgap_26-05-05_13-04-27,0,6.325000,10,left,3.344299,-3.193544,-0.278674,0.096537,simp
dgap_26-05-05_13-04-27,0,6.325000,8,right,4.420882,-2.095601,0.142094,0.341408,simp
dgap_26-05-05_13-04-27,0,6.365000,10,left,3.334213,-3.183913,-0.282338,0.116999,simp
dgap_26-05-05_13-04-27,0,6.365000,8,right,4.417450,-2.093974,0.127426,0.319574,simp
dgap_26-05-05_13-04-27,0,6.400000,10,left,3.327858,-3.177844,-0.283253,0.133843,simp
dgap_26-05-05_13-04-27,0,6.400000,8,right,4.413805,-2.092246,0.114235,0.298760,simp
dgap_26-05-05_13-04-27,0,6.445000,10,left,3.324418,-3.174559,-0.281410,0.146866,simp
dgap_26-05-05_13-04-27,0,6.445000,8,right,4.409139,-2.090034,0.101997,0.278884,simp
dgap_26-05-05_13-04-27,0,6.480000,10,left,3.321181,-3.171468,-0.277336,0.156653,simp
dgap_26-05-05_13-04-27,0,6.480000,8,right,4.399160,-2.085304,0.089430,0.260457,simp
dgap_26-05-05_13-04-27,0,6.520000,10,left,3.318032,-3.168461,-0.271485,0.163694,simp
dgap_26-05-05_13-04-27,0,6.520000,8,right,4.383538,-2.077899,0.075449,0.243891,simp
dgap_26-05-05_13-04-27,0,6.565000,10,left,3.314893,-3.165463,-0.264230,0.168414,simp
dgap_26-05-05_13-04-27,0,6.565000,8,right,4.362444,-2.067900,0.059240,0.229493,simp
dgap_26-05-05_13-04-27,0,6.605000,10,left,3.311798,-3.162508,-0.255861,0.171160,simp
dgap_26-05-05_13-04-27,0,6.605000,8,right,4.336195,-2.055457,0.040223,0.217477,simp
dgap_26-05-05_13-04-27,0,6.645000,10,left,3.308750,-3.159597,-0.246622,0.172215,simp
dgap_26-05-05_13-04-27,0,6.645000,8,right,4.305039,-2.040688,0.017978,0.207977,simp
dgap_26-05-05_13-04-27,0,6.685000,10,left,3.305709,-3.156693,-0.236713,0.171833,simp
dgap_26-05-05_13-04-27,0,6.685000,8,right,4.366103,-2.004264,0.011633,0.204981,simp
dgap_26-05-05_13-04-27,0,6.725000,10,left,3.302694,-3.153814,-0.226303,0.170222,simp
dgap_26-05-05_13-04-27,0,6.725000,8,right,4.304870,-1.976154,-0.005417,0.205846,simp
dgap_26-05-05_13-04-27,0,6.760000,10,left,3.302110,-3.231810,-0.214991,0.151824,simp
dgap_26-05-05_13-04-27,0,6.760000,8,right,4.262913,-1.956894,-0.027637,0.208330,simp
dgap_26-05-05_13-04-27,0,6.800000,10,left,3.297683,-3.227477,-0.203863,0.134975,simp
dgap_26-05-05_13-04-27,0,6.800000,8,right,4.221787,-1.938015,-0.054124,0.211953,simp
dgap_26-05-05_13-04-27,0,6.840000,10,left,3.293567,-3.223449,-0.192838,0.119575,simp
dgap_26-05-05_13-04-27,0,6.840000,8,right,4.188390,-1.922684,-0.082562,0.215920,simp
dgap_26-05-05_13-04-27,0,6.885000,10,left,3.289557,-3.219525,-0.181961,0.105490,simp
dgap_26-05-05_13-04-27,0,6.885000,8,right,4.161688,-1.910427,-0.111237,0.219559,simp
dgap_26-05-05_13-04-27,0,6.920000,10,left,3.285631,-3.215682,-0.171257,0.092626,simp
dgap_26-05-05_13-04-27,0,6.920000,8,right,4.141089,-1.900971,-0.138766,0.222365,simp
dgap_26-05-05_13-04-27,0,6.965000,10,left,3.281806,-3.211938,-0.160749,0.080894,simp
dgap_26-05-05_13-04-27,0,6.965000,8,right,4.126250,-1.894159,-0.164023,0.223933,simp
dgap_26-05-05_13-04-27,0,7.005000,10,left,3.277966,-3.208180,-0.150485,0.070228,simp
dgap_26-05-05_13-04-27,0,7.005000,8,right,4.220957,-1.875147,-0.166437,0.226716,simp
dgap_26-05-05_13-04-27,0,7.045000,10,left,3.273326,-3.203639,-0.140651,0.060712,simp
dgap_26-05-05_13-04-27,0,7.045000,8,right,4.210419,-1.870465,-0.168713,0.227841,simp
dgap_26-05-05_13-04-27,0,7.085000,10,left,3.261297,-3.191866,-0.132649,0.053631,simp
dgap_26-05-05_13-04-27,0,7.085000,8,right,4.202229,-1.866827,-0.170408,0.227312,simp
dgap_26-05-05_13-04-27,0,7.125000,10,left,3.240982,-3.171983,-0.127869,0.050255,simp
dgap_26-05-05_13-04-27,0,7.125000,8,right,4.194742,-1.863501,-0.171454,0.225275,simp
dgap_26-05-05_13-04-27,0,7.160000,10,left,3.212796,-3.144398,-0.127426,0.051605,simp
dgap_26-05-05_13-04-27,0,7.160000,8,right,4.187724,-1.860383,-0.171830,0.221892,simp
dgap_26-05-05_13-04-27,0,7.205000,10,left,3.177047,-3.109410,-0.132221,0.058487,simp
dgap_26-05-05_13-04-27,0,7.205000,8,right,4.181075,-1.857429,-0.171549,0.217317,simp
dgap_26-05-05_13-04-27,0,7.245000,10,left,3.133847,-3.067129,-0.142985,0.071555,simp
dgap_26-05-05_13-04-27,0,7.245000,8,right,4.174734,-1.854612,-0.170632,0.211700,simp
dgap_26-05-05_13-04-27,0,7.280000,10,left,3.083229,-3.017589,-0.160318,0.091337,simp
dgap_26-05-05_13-04-27,0,7.280000,8,right,4.168597,-1.851886,-0.169123,0.205192,simp
dgap_26-05-05_13-04-27,0,7.320000,10,left,3.025538,-2.961126,-0.184636,0.118187,simp
dgap_26-05-05_13-04-27,0,7.320000,8,right,4.162608,-1.849226,-0.167076,0.197933,simp
dgap_26-05-05_13-04-27,0,7.360000,10,left,2.976191,-2.912829,-0.213364,0.149533,simp
dgap_26-05-05_13-04-27,0,7.360000,8,right,4.151186,-1.844151,-0.165590,0.190518,simp
dgap_26-05-05_13-04-27,0,7.400000,10,left,2.925717,-2.863430,-0.245977,0.184818,simp
dgap_26-05-05_13-04-27,0,7.400000,8,right,4.145558,-1.841651,-0.163521,0.182539,simp
dgap_26-05-05_13-04-27,0,7.440000,10,left,2.883199,-2.821817,-0.280278,0.221849,simp
dgap_26-05-05_13-04-27,0,7.440000,8,right,4.140085,-1.839220,-0.160925,0.174107,simp
dgap_26-05-05_13-04-27,0,7.480000,10,left,2.848501,-2.787858,-0.314344,0.258707,simp
dgap_26-05-05_13-04-27,0,7.480000,8,right,4.134645,-1.836803,-0.157877,0.165336,simp
dgap_26-05-05_13-04-27,0,7.525000,10,left,2.821611,-2.761540,-0.346480,0.293701,simp
dgap_26-05-05_13-04-27,0,7.525000,8,right,4.129285,-1.834422,-0.154440,0.156326,simp
