session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_13-16-31,0,5.005000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.005000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.045000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.045000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.080000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.080000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.120000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.120000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.160000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.160000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.200000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.200000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.245000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.245000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.280000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.280000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.325000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.325000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.360000,5,left,-4.730488,-0.673396,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.360000,3,right,4.729806,-0.702994,0.014339,-0.013092,simp
dgap_26-05-05_13-16-31,0,5.400000,5,left,-4.729881,-0.673310,0.000000,0.000000,simp
dgap_26-05-05_13-16-31,0,5.400000,3,right,4.730192,-0.703051,0.276830,-0.252389,simp
dgap_26-05-05_13-16-31,0,5.445000,5,left,-4.729692,-0.673283,0.000130,0.000019,simp
dgap_26-05-05_13-16-31,0,5.445000,3,right,4.730077,-0.703034,0.328089,-0.299194,simp
dgap_26-05-05_13-16-31,0,5.480000,5,left,-4.729556,-0.673264,0.000350,0.000050,simp
dgap_26-05-05_13-16-31,0,5.480000,3,right,4.729908,-0.703009,0.342884,-0.312812,simp
dgap_26-05-05_13-16-31,0,5.525000,5,left,-4.729453,-0.673249,0.000217,0.000089,simp
dgap_26-05-05_13-16-31,0,5.525000,3,right,4.729701,-0.702978,0.341867,-0.312432,simp
dgap_26-05-05_13-16-31,0,5.565000,5,left,-4.729376,-0.673238,0.000743,0.000129,simp
dgap_26-05-05_13-16-31,0,5.565000,3,right,4.729497,-0.702948,0.332301,-0.303823,simp
dgap_26-05-05_13-16-31,0,5.600000,5,left,-4.729320,-0.673230,0.002476,0.000165,simp
