time,gap_id,side,x,y,vx,vy,ns
6.985000,3,right,4.554404,-0.849661,0.000726,-0.009952,simp
6.985000,5,left,-4.999896,0.030740,-0.105322,0.344542,simp
6.985000,9,right,4.877992,0.910029,-0.020649,0.070770,simp
7.010000,8,left,4.959923,0.612957,0.032674,-0.130571,simp
7.010000,3,right,4.535465,-0.846128,-0.018490,-0.007444,simp
7.010000,5,left,-4.999896,0.030740,-0.090559,0.321947,simp
7.010000,9,right,4.887672,0.974171,-0.021961,0.141871,simp
7.080000,8,left,4.945908,0.611225,0.048523,-0.185478,simp
7.080000,3,right,4.920829,-0.855549,0.040036,-0.007649,simp
7.080000,5,left,-4.592471,-0.538903,0.002640,0.190135,simp
7.080000,9,right,4.862573,0.969168,-0.039725,0.189039,simp
7.110000,8,left,4.939084,0.610382,0.057206,-0.225596,simp
7.110000,3,right,4.897223,-0.851445,0.086792,-0.007533,simp
7.110000,5,left,-4.614408,-0.541477,0.080191,0.074416,simp
7.110000,9,right,4.889511,1.037203,-0.024859,0.275502,simp
7.155000,8,left,4.925879,0.608750,0.054327,-0.252254,simp
7.155000,3,right,4.873211,-0.847270,0.123005,-0.007229,simp
7.155000,5,left,-4.637110,-0.544141,0.143628,-0.026764,simp
7.155000,9,right,4.860607,1.031072,-0.033705,0.322361,simp
7.185000,8,left,4.919752,0.607993,0.049150,-0.266780,simp
7.190000,3,right,4.849214,-0.843098,0.149778,-0.006677,simp
7.190000,5,left,-4.999896,0.030740,0.129683,-0.004710,simp
7.190000,9,right,4.842179,1.027163,-0.050317,0.339652,simp
7.205000,8,left,4.913888,0.607268,0.042959,-0.272246,simp
7.205000,3,right,4.825667,-0.839004,0.168274,-0.006044,simp
7.205000,5,left,-4.999896,0.030740,0.117257,0.015237,simp
7.205000,9,right,4.824215,1.023352,-0.070765,0.335824,simp
7.245000,8,left,4.908353,0.606584,0.036654,-0.271332,simp
7.245000,3,right,4.802408,-0.834960,0.179447,-0.005270,simp
7.245000,5,left,-4.999896,0.030740,0.106210,0.033297,simp
7.245000,9,right,4.873256,1.096539,-0.045064,0.373052,simp
7.285000,8,left,4.903248,0.605953,0.030885,-0.266336,simp
7.285000,3,right,4.779189,-0.830923,0.184156,-0.004415,simp
7.285000,5,left,-4.999896,0.030740,0.096454,0.049565,simp
7.285000,9,right,4.849736,1.091247,-0.038153,0.383756,simp
7.345000,8,left,4.892075,0.604573,0.022092,-0.259364,simp
7.345000,3,right,4.756886,-0.827046,0.183343,-0.003524,simp
7.345000,5,left,-4.999896,0.030740,0.087895,0.064146,simp
7.345000,9,right,4.816682,1.083810,-0.049344,0.375623,simp
7.375000,8,left,4.887551,0.604014,0.015320,-0.250851,simp
7.375000,3,right,4.735933,-0.823403,0.177952,-0.002628,simp
7.375000,5,left,-4.999896,0.030740,0.080447,0.077113,simp
7.375000,9,right,4.796002,1.079156,-0.065007,0.357264,simp
7.405000,8,left,4.883321,0.603491,0.010247,-0.241547,simp
7.405000,3,right,4.716035,-0.819943,0.168777,-0.001742,simp
7.405000,5,left,-4.999896,0.030740,0.074023,0.088546,simp
7.405000,9,right,4.776201,1.074701,-0.082584,0.333080,simp
7.445000,8,left,4.879479,0.603016,0.006652,-0.231971,simp
7.445000,3,right,4.696898,-0.816616,0.156501,-0.000887,simp
7.445000,5,left,-4.999896,0.030740,0.068561,0.098531,simp
7.445000,9,right,4.757082,1.070399,-0.100525,0.305942,simp
7.485000,8,left,4.876166,0.602607,0.004359,-0.222418,simp
7.485000,3,right,4.678353,-0.813392,0.141688,-0.000065,simp
7.485000,5,left,-4.999896,0.030740,0.063971,0.107159,simp
7.485000,9,right,4.838759,1.151463,-0.075409,0.313903,simp
7.540000,8,left,4.868073,0.601606,0.001137,-0.213345,simp
7.540000,3,right,4.660090,-0.810216,0.124808,0.000721,simp
7.540000,5,left,-4.999896,0.030740,0.060187,0.114521,simp
7.540000,9,right,4.793595,1.140715,-0.071433,0.309560,simp
7.570000,8,left,4.866700,0.601437,-0.000201,-0.204511,simp
7.570000,3,right,4.642017,-0.807074,0.106268,0.001463,simp
7.570000,5,left,-4.999896,0.030740,0.057140,0.120715,simp
7.570000,9,right,4.767073,1.134404,-0.075393,0.298405,simp
7.605000,8,left,4.866686,0.601435,0.000277,-0.195968,simp
7.605000,3,right,4.624161,-0.803970,0.086443,0.002153,simp
7.605000,5,left,-4.999896,0.030740,0.054766,0.125833,simp
7.605000,9,right,4.742643,1.128590,-0.084146,0.282850,simp
7.660000,8,left,4.868455,0.601654,0.002614,-0.187712,simp
7.660000,3,right,4.606614,-0.800919,0.065693,0.002788,simp
7.660000,5,left,-4.999896,0.030740,0.053003,0.129961,simp
7.660000,9,right,4.719744,1.123141,-0.095677,0.264558,simp
7.685000,8,left,4.873213,0.602242,0.007161,-0.179678,simp
7.685000,3,right,4.589379,-0.797922,0.044341,0.003363,simp
7.685000,5,left,-4.999896,0.030740,0.051794,0.133179,simp
7.685000,9,right,4.698046,1.117978,-0.108678,0.244669,simp
7.740000,8,left,4.884341,0.603617,0.015083,-0.171698,simp
7.740000,3,right,4.572343,-0.794960,0.022656,0.003880,simp
7.740000,5,left,-4.999896,0.030740,0.051081,0.135570,simp
7.740000,9,right,4.666294,1.110422,-0.125426,0.223218,simp
7.765000,8,left,4.728180,0.643436,-0.019696,-0.153489,simp
7.765000,3,right,4.555394,-0.792014,0.000856,0.004337,simp
7.765000,5,left,-4.582805,-0.594979,0.129167,0.019664,simp
7.765000,9,right,4.646443,1.105698,-0.141556,0.201640,simp
7.805000,8,left,4.722392,0.642648,-0.047900,-0.138170,simp
7.805000,3,right,4.538905,-0.789147,-0.020792,0.004728,simp
7.805000,5,left,-4.600413,-0.597265,0.194505,-0.082462,simp
7.805000,9,right,4.770491,1.197381,-0.119973,0.205045,simp
7.845000,8,left,4.716733,0.641878,-0.070699,-0.125204,simp
7.850000,3,right,4.926266,-0.794221,0.033753,0.003591,simp
7.850000,5,left,-4.617261,-0.599452,0.248248,-0.171696,simp
7.850000,9,right,4.715686,1.183625,-0.113621,0.201760,simp
7.885000,8,left,4.711294,0.641138,-0.088999,-0.114166,simp
7.885000,3,right,4.908790,-0.791403,0.078952,0.002659,simp
7.885000,5,left,-4.633445,-0.601554,0.291482,-0.248914,simp
7.885000,9,right,4.682090,1.175193,-0.114222,0.194556,simp
7.940000,8,left,4.700099,0.639615,-0.104892,-0.104908,simp
7.940000,3,right,4.892018,-0.788699,0.115709,0.001905,simp
7.940000,5,left,-4.649205,-0.603600,0.325201,-0.314975,simp
7.940000,9,right,4.640495,1.164752,-0.122165,0.183869,simp
7.970000,8,left,4.695403,0.638975,-0.117283,-0.096939,simp
7.970000,3,right,4.875760,-0.786078,0.144850,0.001304,simp
7.970000,5,left,-4.664720,-0.605614,0.350319,-0.370717,simp
7.970000,9,right,4.616022,1.158610,-0.132126,0.171440,simp
8.005000,8,left,4.691149,0.638397,-0.126646,-0.090052,simp
8.005000,3,right,4.859901,-0.783521,0.167136,0.000835,simp
8.005000,5,left,-4.680048,-0.607604,0.367698,-0.416955,simp
8.005000,9,right,4.593150,1.152869,-0.143302,0.157790,simp
8.045000,8,left,4.687499,0.637900,-0.133336,-0.084072,simp
8.045000,3,right,4.844167,-0.780985,0.183240,0.000485,simp
8.045000,5,left,-4.695390,-0.609596,0.378119,-0.454473,simp
8.045000,9,right,4.571462,1.147425,-0.155142,0.143306,simp
8.085000,8,left,4.684588,0.637504,-0.137617,-0.078868,simp
8.085000,3,right,4.828544,-0.778466,0.193797,0.000230,simp
8.085000,5,left,-4.710817,-0.611599,0.382311,-0.484037,simp
8.085000,9,right,4.550697,1.142213,-0.167260,0.128271,simp
8.140000,8,left,4.677766,0.636575,-0.140661,-0.074441,simp
8.140000,3,right,4.813166,-0.775987,0.199432,0.000058,simp
8.140000,5,left,-4.726228,-0.613599,0.380981,-0.506371,simp
8.140000,9,right,4.519685,1.134429,-0.181615,0.112360,simp
8.170000,8,left,4.677446,0.636532,-0.141343,-0.070513,simp
8.170000,3,right,4.798028,-0.773546,0.200735,-0.000047,simp
8.170000,5,left,-4.741509,-0.615583,0.374812,-0.522174,simp
8.170000,9,right,4.500563,1.129630,-0.195375,0.096417,simp
8.205000,8,left,4.679098,0.636757,-0.139635,-0.066970,simp
8.205000,3,right,4.783102,-0.771140,0.198253,-0.000095,simp
8.205000,5,left,-4.756775,-0.617565,0.364425,-0.532111,simp
8.205000,9,right,4.616718,1.219317,-0.181798,0.099235,simp
8.245000,8,left,4.684149,0.637444,-0.135237,-0.063687,simp
8.245000,3,right,4.768233,-0.768743,0.192465,-0.000097,simp
8.245000,5,left,-4.772162,-0.619563,0.350377,-0.536809,simp
8.245000,9,right,4.567751,1.206385,-0.177343,0.097941,simp
8.285000,8,left,4.697948,0.639322,-0.126871,-0.060414,simp
8.285000,3,right,4.753428,-0.766356,0.183820,-0.000062,simp
8.285000,5,left,-4.787684,-0.621578,0.333178,-0.536861,simp
8.285000,9,right,4.535064,1.197752,-0.177563,0.093968,simp
8.340000,8,left,4.533120,0.673760,-0.149504,-0.050897,simp
8.340000,3,right,4.739251,-0.764070,0.172843,-0.000011,simp
8.340000,5,left,-4.802677,-0.623525,0.313426,-0.532819,simp
8.340000,9,right,4.493845,1.186865,-0.183444,0.087287,simp
8.365000,8,left,4.526583,0.672788,-0.168509,-0.042799,simp
8.365000,3,right,4.726042,-0.761940,0.160080,0.000046,simp
8.365000,5,left,-4.816855,-0.625365,0.291714,-0.525215,simp
8.365000,9,right,4.469955,1.180556,-0.190864,0.079217,simp
8.405000,8,left,4.520164,0.671834,-0.184228,-0.035955,simp
8.405000,3,right,4.713616,-0.759937,0.145990,0.000108,simp
8.405000,5,left,-4.830394,-0.627123,0.268559,-0.514536,simp
8.405000,9,right,4.447713,1.174682,-0.199264,0.070096,simp
8.445000,8,left,4.513918,0.670906,-0.196955,-0.030224,simp
8.445000,3,right,4.701728,-0.758020,0.130942,0.000171,simp
8.445000,5,left,-4.843510,-0.628826,0.244390,-0.501231,simp
8.445000,9,right,4.426662,1.169122,-0.208239,0.060195,simp
8.485000,8,left,4.507886,0.670009,-0.206953,-0.025480,simp
8.485000,3,right,4.690235,-0.756167,0.115236,0.000238,simp
8.485000,5,left,-4.856266,-0.630482,0.219575,-0.485713,simp
8.485000,9,right,4.406488,1.163793,-0.217494,0.049738,simp
8.540000,8,left,4.496408,0.668304,-0.215524,-0.021784,simp
8.540000,3,right,4.679011,-0.754358,0.099124,0.000296,simp
8.540000,5,left,-4.868838,-0.632114,0.194417,-0.468370,simp
8.540000,9,right,4.375897,1.155714,-0.228895,0.038341,simp
8.565000,8,left,4.491169,0.667525,-0.221615,-0.018840,simp
8.565000,3,right,4.667963,-0.752577,0.082807,0.000357,simp
8.565000,5,left,-4.999896,0.030740,0.146884,-0.324730,simp
8.565000,9,right,4.357251,1.150789,-0.239853,0.026808,simp
8.605000,8,left,4.486340,0.666807,-0.225412,-0.016563,simp
8.605000,3,right,4.657093,-0.750824,0.066466,0.000414,simp
8.605000,5,left,-4.999896,0.030740,0.104575,-0.195416,simp
8.605000,9,right,4.339064,1.145986,-0.250260,0.015259,simp
8.645000,8,left,4.482008,0.666163,-0.227077,-0.014867,simp
8.645000,3,right,4.646442,-0.749107,0.050270,0.000465,simp
8.645000,5,left,-4.999896,0.030740,0.067190,-0.079698,simp
8.645000,9,right,4.429391,1.228297,-0.239730,0.020144,simp
8.685000,8,left,4.478281,0.665609,-0.226741,-0.013670,simp
8.685000,3,right,4.635935,-0.747413,0.034349,0.000512,simp
8.685000,5,left,-4.999896,0.030740,0.034429,0.023170,simp
8.685000,9,right,4.395822,1.218988,-0.234139,0.022251,simp
8.740000,8,left,4.470772,0.664493,-0.225360,-0.013020,simp
8.740000,3,right,4.625778,-0.745776,0.018859,0.000549,simp
8.740000,5,left,-4.999896,0.030740,0.005993,0.113938,simp
8.740000,9,right,4.353786,1.207331,-0.234523,0.021463,simp
8.765000,8,left,4.469059,0.664239,-0.221981,-0.012681,simp
8.765000,3,right,4.615972,-0.744195,0.003932,0.000578,simp
8.765000,5,left,-4.999896,0.030740,-0.018411,0.193358,simp
8.765000,9,right,4.329932,1.200716,-0.236751,0.019088,simp
8.805000,8,left,4.468733,0.664190,-0.216608,-0.012569,simp
8.805000,3,right,4.606626,-0.742688,-0.010300,0.000595,simp
8.805000,5,left,-4.952925,-0.643031,-0.030253,0.135651,simp
8.805000,9,right,4.307697,1.194551,-0.240284,0.015428,simp
8.860000,8,left,4.470439,0.664444,-0.209140,-0.012584,simp
8.860000,3,right,4.597856,-0.741274,-0.023700,0.000602,simp
8.860000,5,left,-4.564497,-0.649767,0.033219,0.082798,simp
8.860000,9,right,4.286718,1.188733,-0.244711,0.010744,simp
8.885000,8,left,4.476371,0.665325,-0.199089,-0.012578,simp
8.885000,3,right,4.589513,-0.739929,-0.036186,0.000601,simp
