session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_10-40-58,0,6.285000,11,right,4.469611,-2.118699,0.157506,0.375173,simp
dgap_26-05-05_10-40-58,0,6.325000,10,left,3.594253,-3.267087,-0.236589,-0.144377,simp
dgap_26-05-05_10-40-58,0,6.325000,11,right,4.509581,-2.070127,0.149343,0.362043,simp
dgap_26-05-05_10-40-58,0,6.365000,10,left,3.614146,-3.285170,-0.224603,-0.130527,simp
dgap_26-05-05_10-40-58,0,6.365000,11,right,4.551231,-2.021870,0.154490,0.351947,simp
dgap_26-05-05_10-40-58,0,6.405000,10,left,3.619974,-3.210074,-0.223052,-0.100906,simp
dgap_26-05-05_10-40-58,0,6.405000,11,right,4.516091,-2.006259,0.130869,0.328003,simp
dgap_26-05-05_10-40-58,0,6.445000,10,left,3.628428,-3.138728,-0.226453,-0.063572,simp
dgap_26-05-05_10-40-58,0,6.445000,11,right,4.545061,-1.952575,0.115364,0.308964,simp
dgap_26-05-05_10-40-58,0,6.485000,10,left,3.663550,-3.169111,-0.223951,-0.059561,simp
dgap_26-05-05_10-40-58,0,6.485000,11,right,4.574011,-1.898737,0.105718,0.293097,simp
dgap_26-05-05_10-40-58,0,6.525000,10,left,3.665645,-3.092949,-0.228515,-0.043343,simp
dgap_26-05-05_10-40-58,0,6.525000,11,right,4.560957,-1.827904,0.086149,0.284996,simp
dgap_26-05-05_10-40-58,0,6.560000,10,left,3.666329,-3.017139,-0.238823,-0.019275,simp
dgap_26-05-05_10-40-58,0,6.565000,11,right,4.587562,-1.773416,0.072399,0.276811,simp
dgap_26-05-05_10-40-58,0,6.600000,10,left,3.674015,-2.948451,-0.251144,0.007551,simp
dgap_26-05-05_10-40-58,0,6.605000,11,right,4.613552,-1.718563,0.063080,0.268429,simp
dgap_26-05-05_10-40-58,0,6.645000,10,left,3.686632,-2.884777,-0.263512,0.034254,simp
dgap_26-05-05_10-40-58,0,6.645000,11,right,4.638866,-1.663332,0.057042,0.259815,simp
dgap_26-05-05_10-40-58,0,6.680000,10,left,3.703503,-2.825253,-0.274637,0.059128,simp
dgap_26-05-05_10-40-58,0,6.685000,11,right,4.663508,-1.607735,0.053495,0.250983,simp
