epoch,train_loss,val_loss,best_val_loss_so_far
1,0.818793225073806,0.757032303295655,0.757032303295655
2,0.5878741181280095,0.4940383860935046,0.4940383860935046
3,0.4805273356470183,0.44028636657076176,0.44028636657076176
4,0.44814279266626256,0.42120939380796263,0.42120939380796263
5,0.4296538224590279,0.41152560144829353,0.41152560144829353
6,0.4178427620310752,0.4084302813189323,0.4084302813189323
7,0.4050757995084298,0.3901481129145822,0.3901481129145822
8,0.39787236956585875,0.39922588518378455,0.3901481129145822
9,0.38807429326388937,0.3691774309513955,0.3691774309513955
10,0.3837020735105657,0.39479670092962976,0.3691774309513955
11,0.37780938035789297,0.36858170527402917,0.36858170527402917
12,0.3713115737941123,0.363050676237105,0.363050676237105
13,0.36740460629877364,0.3645066856588731,0.363050676237105
14,0.3624292065040168,0.39257340795001505,0.363050676237105
15,0.3606526222742758,0.34163198630486785,0.34163198630486785
16,0.3552093296326444,0.3347252028156592,0.3347252028156592
17,0.3533434904109177,0.34163019575137,0.3347252028156592
18,0.3484007539406643,0.33463381659551705,0.33463381659551705
19,0.34360728734483753,0.32654845554319173,0.32654845554319173
20,0.34342572626868395,0.3209309097192141,0.3209309097192141
21,0.34029883950979967,0.3349152055241209,0.3209309097192141
22,0.3392694822477736,0.3182789545880849,0.3182789545880849
23,0.3371372469516952,0.3332345310036697,0.3182789545880849
24,0.335076008766775,0.32342739049449315,0.3182789545880849
25,0.33250767148299387,0.3275022081531293,0.3182789545880849
26,0.32917837351716844,0.3231319052338933,0.3182789545880849
27,0.32849991025728015,0.33576538336759837,0.3182789545880849
28,0.32706711342058914,0.3178918287782363,0.3178918287782363
29,0.32494694432025606,0.3449467450130585,0.3178918287782363
30,0.3240897366005572,0.3094785561129534,0.3094785561129534
31,0.3216235296359974,0.3224881353824498,0.3094785561129534
32,0.3202573601149963,0.3131097915202546,0.3094785561129534
33,0.3181761715981728,0.339492266414968,0.3094785561129534
34,0.3168727458044183,0.30500595583762535,0.30500595583762535
35,0.31614092650716846,0.31576189155268936,0.30500595583762535
36,0.31528051818367153,0.32829478478797985,0.30500595583762535
37,0.31368470690397066,0.30950610279287705,0.30500595583762535
38,0.3109381696855801,0.32287966815869235,0.30500595583762535
39,0.3117610747082506,0.3116299893769472,0.30500595583762535
40,0.30836465206337077,0.303338781040807,0.303338781040807
41,0.307409722992108,0.29551684610837,0.29551684610837
42,0.3068566588370461,0.2992265863167174,0.29551684610837
43,0.3054768884256977,0.30197264042854643,0.29551684610837
44,0.30400685638928904,0.30180794656193455,0.29551684610837
45,0.30196985908110463,0.3025248403863867,0.29551684610837
46,0.3019452036229183,0.31521406603259083,0.29551684610837
47,0.30017971325820664,0.29848864678730513,0.29551684610837
48,0.2985145669535964,0.29801905211373414,0.29551684610837
49,0.29881903344790695,0.2974574005220855,0.29551684610837
50,0.2982330929041325,0.2852216209154888,0.2852216209154888
51,0.295744429436525,0.288404903848078,0.2852216209154888
52,0.29561811273058825,0.295995209761505,0.2852216209154888
53,0.29392170917004484,0.28975479529556614,0.2852216209154888
54,0.29462456430788014,0.28274308677825183,0.28274308677825183
55,0.291919323347824,0.29285707095814817,0.28274308677825183
56,0.29106529270308873,0.30277712407974555,0.28274308677825183
57,0.28963505994686084,0.2864533021900407,0.28274308677825183
58,0.2900208054264706,0.28939317016961186,0.28274308677825183
59,0.2884613873397333,0.28749624331736695,0.28274308677825183
60,0.28691720876586224,0.2813129109543795,0.2813129109543795
61,0.28883323815580597,0.29332756768266915,0.2813129109543795
